partID,measure,movement,leg,result_n,result_bw
A03,VertPeak,Kong,Single,3001.390869,4.343546843704775
A03,VertRFD,Drop,Double,25529,36.94500723589002
A03,VertRFD,Drop,Single,34270,49.59479015918958
A03,VertRFD,Step,Double,35805,51.816208393632415
A03,VertRFD,Step,Single,19198,27.782923299565848
A03,VertRFD,Dash,Double,5519,7.986975397973951
A03,VertRFD,Dash,Single,6393,9.251808972503618
A03,VertRFD,Kong,Double,50130,72.54703328509407
A03,VertRFD,Kong,Single,50437,72.99131693198264
A03,HorzPeak,Drop,Double,404.361786,0.5851834819102749
A03,HorzPeak,Drop,Single,338.971954,0.4905527554269175
A03,HorzPeak,Step,Double,467.970917,0.6772372170767004
A03,HorzPeak,Step,Single,195.85965,0.2834437771345875
A03,HorzPeak,Dash,Double,411.648026,0.595727968162084
A03,HorzPeak,Dash,Single,192.543436,0.2786446251808973
A03,HorzPeak,Kong,Double,605.726501,0.8765940680173662
A03,HorzPeak,Kong,Single,593.533417,0.858948505065123
A03,HorzRFD,Drop,Double,19391,28.062228654124457
A03,HorzRFD,Drop,Single,16259,23.529667149059335
A03,HorzRFD,Step,Double,9464,13.696092619392186
A03,HorzRFD,Step,Single,8382,12.130246020260492
A03,HorzRFD,Dash,Double,6734,9.745296671490593
A03,HorzRFD,Dash,Single,3035,4.3921852387843705
A03,HorzRFD,Kong,Double,32805,47.474674384949346
A03,HorzRFD,Kong,Single,34628,50.11287988422576
A03,ResultantPeak,Drop,Double,1995.4515057854703,2.8877735250151524
A03,ResultantPeak,Drop,Single,2268.560069367441,3.283010230633055
A03,ResultantPeak,Step,Double,1918.5407656141151,2.776469993652844
A03,ResultantPeak,Step,Single,1630.590209238831,2.3597542825453415
A03,ResultantPeak,Dash,Double,1972.4348732950577,2.854464360774324
A03,ResultantPeak,Dash,Single,2095.6620848881735,3.0327960707498893
A03,ResultantPeak,Kong,Double,2341.006531159234,3.387853156525664
A03,ResultantPeak,Kong,Single,3017.660833805008,4.367092378878449
A03,ResultantAngle,Drop,Double,82.54422890510756,82.54422890510756
A03,ResultantAngle,Drop,Single,97.81598154686112,97.81598154686112
A03,ResultantAngle,Step,Double,76.72539471345466,76.72539471345466
A03,ResultantAngle,Step,Single,91.84469837378694,91.84469837378694
A03,ResultantAngle,Dash,Double,77.66732591056719,77.66732591056719
A03,ResultantAngle,Dash,Single,86.84654708756621,86.84654708756621
A03,ResultantAngle,Kong,Double,85.67313293946523,85.67313293946523
A03,ResultantAngle,Kong,Single,99.36390794066287,99.36390794066287
A04,VertPeak,Drop,Double,2237.005829,3.064391546575343
A04,VertPeak,Drop,Single,2184.316803,2.9922147986301373
A04,VertPeak,Step,Double,2135.074005,2.924758910958904
A04,VertPeak,Step,Single,1789.20186,2.4509614520547944
A04,VertPeak,Dash,Double,2167.610718,2.969329750684931
A04,VertPeak,Dash,Single,1608.782379,2.2038114780821916
A04,VertPeak,Kong,Double,2555.153809,3.500210697260274
A04,VertPeak,Kong,Single,2302.494995,3.154102732876712
A04,VertRFD,Drop,Double,25970,35.57534246575342
A04,VertRFD,Drop,Single,19154,26.23835616438356
A04,VertRFD,Step,Double,64749,88.6972602739726
A04,VertRFD,Step,Single,14927,20.447945205479453
A04,VertRFD,Dash,Double,126258,172.95616438356166
A04,VertRFD,Dash,Single,17864,24.471232876712328
A04,VertRFD,Kong,Double,140593,192.59315068493152
A04,VertRFD,Kong,Single,30167,41.324657534246576
A04,HorzPeak,Drop,Double,431.668991,0.5913273849315068
