partID,measure,movement,leg,result_n,result_bw
A07,HorzPeak,Drop,Double,393.986862,0.495580958490566
A07,HorzPeak,Drop,Single,153.169609,0.1926661748427673
A07,HorzPeak,Step,Double,396.113419,0.49825587295597484
A07,HorzPeak,Step,Single,99.094967,0.1246477572327044
A07,HorzPeak,Dash,Double,448.285522,0.5638811597484277
A07,HorzPeak,Dash,Single,55.208694,0.06944489811320755
A07,HorzPeak,Kong,Double,665.162048,0.8366818213836479
A07,HorzPeak,Kong,Single,369.071121,0.4642404037735849
B08,VertPeak,Drop,Double,1936.554047,2.4267594573934836
B08,VertPeak,Drop,Single,2529.158203,3.1693711817042605
B08,VertPeak,Step,Double,1727.650421,2.1649754649122808
B08,VertPeak,Step,Single,1509.824707,1.892010911027569
B08,VertPeak,Dash,Double,1832.081146,2.295841035087719
B08,VertPeak,Dash,Single,1720.945709,2.1565735701754387
B08,VertPeak,Kong,Double,2397.61969,3.0045359523809525
B08,VertPeak,Kong,Single,2969.113403,3.7206934874686715
B08,HorzPeak,Drop,Double,322.31517,0.4039037218045113
B08,HorzPeak,Drop,Single,84.941587,0.10644309147869674
B08,HorzPeak,Step,Double,373.720612,0.4683215689223058
B08,HorzPeak,Step,Single,101.617445,0.127340156641604
B08,HorzPeak,Dash,Double,414.800385,0.5197999812030075
B08,HorzPeak,Dash,Single,67.355274,0.08440510526315789
B08,HorzPeak,Kong,Double,680.906372,0.8532661303258146
B08,HorzPeak,Kong,Single,405.694885,0.5083895802005013
B09,VertPeak,Drop,Double,2391.11438,2.955642002472188
B09,VertPeak,Drop,Single,2405.303238,2.973180763906057
B09,VertPeak,Step,Double,2088.171204,2.5811757775030904
B09,VertPeak,Step,Single,2077.883453,2.568459150803461
B09,VertPeak,Dash,Double,1990.51413,2.460462459826947
B09,VertPeak,Dash,Single,1874.871277,2.3175170296662544
B09,VertPeak,Kong,Double,3351.354736,4.142589290482077
B09,VertPeak,Kong,Single,2189.038086,2.705856719406675
B09,HorzPeak,Drop,Double,679.180878,0.839531369592089
B09,HorzPeak,Drop,Single,337.320618,0.4169599728059333
B09,HorzPeak,Step,Double,466.154114,0.5762102768850432
B09,HorzPeak,Step,Single,212.026093,0.2620841693448702
B09,HorzPeak,Dash,Double,554.064484,0.6848757527812114
B09,HorzPeak,Dash,Single,193.751633,0.23949522002472187
B09,HorzPeak,Kong,Double,935.180115,1.1559704758961682
B09,HorzPeak,Kong,Single,393.713379,0.4866667231149567
C10,VertPeak,Drop,Double,2205.211288,3.132402397727273
C10,VertPeak,Drop,Single,2188.563157,3.108754484375
C10,VertPeak,Step,Double,2270.324181,3.224892302556818
C10,VertPeak,Step,Single,2712.551181,3.853055654829545
C10,VertPeak,Dash,Double,1838.975471,2.6121810667613636
C10,VertPeak,Dash,Single,1752.365127,2.489155009943182
C10,VertPeak,Kong,Double,3300.158279,4.687724828125
C10,VertPeak,Kong,Single,2805.177452,3.9846270625
C10,HorzPeak,Drop,Double,429.957458,0.6107350255681818
C10,HorzPeak,Drop,Single,394.464325,0.5603186434659091
C10,HorzPeak,Step,Double,414.982681,0.5894640355113636
C10,HorzPeak,Step,Single,189.587936,0.2693010454545455
C10,HorzPeak,Dash,Double,338.888901,0.4813762798295454
C10,HorzPeak,Dash,Single,39.845761,0.05659909232954546
C10,HorzPeak,Kong,Double,772.687775,1.097567862215909
C10,HorzPeak,Kong,Single,440.606689,0.6258617741477273
